CircuitName,File_Content,File,Date,File_State,Log_Directory
BOR_10_08_E0101," - Equipment doesn't have RatedVoltage defined - Equipment ID: FaultInterrupter.3925.Fuse",CIMToDMSTranformReports.txt,2014-03-04_16-36-19,TODO,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Invalid\Reports_for_Extract_BOR_10_08_E0101_created at_2014-03-04_16-36-19
BOR_10_08_E0101," - Equipment doesn't have RatedVoltage defined - Equipment ID: FaultInterrupter.3927.Fuse",CIMToDMSTranformReports.txt,2014-03-04_16-36-19,TODO,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Invalid\Reports_for_Extract_BOR_10_08_E0101_created at_2014-03-04_16-36-19
BOR_10_08_E0101," - Equipment doesn't have RatedVoltage defined - Equipment ID: FaultInterrupter.3929.Fuse",CIMToDMSTranformReports.txt,2014-03-04_16-36-19,TODO,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Invalid\Reports_for_Extract_BOR_10_08_E0101_created at_2014-03-04_16-36-19
BOR_10_08_E0101," - Equipment doesn't have RatedVoltage defined - Equipment ID: FaultInterrupter.3932.Fuse",CIMToDMSTranformReports.txt,2014-03-04_16-36-19,TODO,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Invalid\Reports_for_Extract_BOR_10_08_E0101_created at_2014-03-04_16-36-19
BOR_10_08_E0101," - Equipment doesn't have RatedVoltage defined - Equipment ID: FaultInterrupter.3933.Fuse",CIMToDMSTranformReports.txt,2014-03-04_16-36-19,TODO,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Invalid\Reports_for_Extract_BOR_10_08_E0101_created at_2014-03-04_16-36-19
BOR_10_08_E0101," - Equipment doesn't have RatedVoltage defined - Equipment ID: FaultInterrupter.3934.Fuse",CIMToDMSTranformReports.txt,2014-03-04_16-36-19,TODO,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Invalid\Reports_for_Extract_BOR_10_08_E0101_created at_2014-03-04_16-36-19
BOR_10_08_E0101," - Equipment doesn't have RatedVoltage defined - Equipment ID: FaultInterrupter.3935.Fuse",CIMToDMSTranformReports.txt,2014-03-04_16-36-19,TODO,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Invalid\Reports_for_Extract_BOR_10_08_E0101_created at_2014-03-04_16-36-19
BOR_10_08_E0101," - Equipment doesn't have RatedVoltage defined - Equipment ID: FaultInterrupter.3936.Fuse",CIMToDMSTranformReports.txt,2014-03-04_16-36-19,TODO,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Invalid\Reports_for_Extract_BOR_10_08_E0101_created at_2014-03-04_16-36-19
BOR_10_08_E0101," - Equipment doesn't have RatedVoltage defined - Equipment ID: FaultInterrupter.3937.Fuse",CIMToDMSTranformReports.txt,2014-03-04_16-36-19,TODO,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Invalid\Reports_for_Extract_BOR_10_08_E0101_created at_2014-03-04_16-36-19
BOR_10_08_E0101," - Equipment doesn't have RatedVoltage defined - Equipment ID: FaultInterrupter.3938.Fuse",CIMToDMSTranformReports.txt,2014-03-04_16-36-19,TODO,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Invalid\Reports_for_Extract_BOR_10_08_E0101_created at_2014-03-04_16-36-19
BOR_10_08_E0101," - Equipment doesn't have RatedVoltage defined - Equipment ID: FaultInterrupter.4192.Fuse",CIMToDMSTranformReports.txt,2014-03-04_16-36-19,TODO,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Invalid\Reports_for_Extract_BOR_10_08_E0101_created at_2014-03-04_16-36-19
BOR_10_08_E0101," - Equipment doesn't have RatedVoltage defined - Equipment ID: FaultInterrupter.4193.Fuse",CIMToDMSTranformReports.txt,2014-03-04_16-36-19,TODO,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Invalid\Reports_for_Extract_BOR_10_08_E0101_created at_2014-03-04_16-36-19
BOR_10_08_E0101," - Equipment doesn't have RatedVoltage defined - Equipment ID: FaultInterrupter.4983.Fuse",CIMToDMSTranformReports.txt,2014-03-04_16-36-19,TODO,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Invalid\Reports_for_Extract_BOR_10_08_E0101_created at_2014-03-04_16-36-19
BOR_10_08_E0101," - Equipment doesn't have RatedVoltage defined - Equipment ID: FaultInterrupter.5858.Fuse",CIMToDMSTranformReports.txt,2014-03-04_16-36-19,TODO,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Invalid\Reports_for_Extract_BOR_10_08_E0101_created at_2014-03-04_16-36-19
BOR_10_08_E0101," - Equipment doesn't have RatedVoltage defined - Equipment ID: FaultInterrupter.6072.Fuse",CIMToDMSTranformReports.txt,2014-03-04_16-36-19,TODO,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Invalid\Reports_for_Extract_BOR_10_08_E0101_created at_2014-03-04_16-36-19
BOR_10_08_E0101," - Equipment doesn't have RatedVoltage defined - Equipment ID: FaultInterrupter.6536.Fuse",CIMToDMSTranformReports.txt,2014-03-04_16-36-19,TODO,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Invalid\Reports_for_Extract_BOR_10_08_E0101_created at_2014-03-04_16-36-19
BOR_10_08_E0101," - Equipment doesn't have RatedVoltage defined - Equipment ID: FaultInterrupter.6844.Fuse",CIMToDMSTranformReports.txt,2014-03-04_16-36-19,TODO,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Invalid\Reports_for_Extract_BOR_10_08_E0101_created at_2014-03-04_16-36-19
